Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
165;2.41;9.05;7.43;36.84;0.94;13.5;1.44;0.42;9.41;0.67;0.33;0.26;17.12;645;650;192;37.04;19.78;3.35;2.27;0.01;1.04;19.77;16.74;29;-4.589466996;137.4491362
165;2.55;8.58;7.76;37.52;0.85;12.49;1.44;0.49;9.12;0.87;0.41;0.29;17.42;692;641;133;37.21;19.95;3.12;3.16;0;1.14;19.77;15.64;30;-4.589466996;137.4491362
165;2.88;8.74;9.44;43.87;1.01;5.14;1.35;0.81;5.95;0.92;0.45;0.36;18.68;549;766;156;37.23;19.95;3.12;3.16;0;1.04;19.84;15.66;31;-4.589466996;137.4491362
165;2.47;9.76;7.78;41.85;0.94;6.6;1.59;0.43;5.21;0.85;0.26;0.35;21.7;941;835;162;37.15;19.95;3.12;3.11;0;0.59;19.91;16.17;32;-4.589466996;137.4491362
165;2.33;8.01;7.45;38.38;0.88;12.49;1.26;0.35;9.54;0.83;0.39;0.26;17.67;617;596;156;36.53;20.72;2.98;3.11;0;0.59;19.91;16.17;33;-4.589466996;137.4491362
168;2.47;8.32;8.21;41.34;0.83;7.84;1.25;0.58;6.89;1.06;0.35;0.31;20.3;648;815;550;35.56;21.59;2.79;3.83;0;0.63;19.97;15.63;34;-4.589484879;137.4491296
168;2.66;8.61;8.41;43.31;1.02;5.65;1.24;0.56;6.04;0.95;0.42;0.29;20.59;715;792;385;36;21.59;2.79;3.83;0;0.19;19.97;15.63;35;-4.589484879;137.4491296
169;2.48;8.75;8.39;43.58;1.04;5.93;1.18;0.53;6.01;0.95;0.42;0.31;20.17;848;856;454;35.72;21.59;2.79;3.66;0;0.1;19.97;16.17;36;-4.589484879;137.4491296
169;3.04;9.8;8.88;46.88;1.02;0.89;1.13;0.62;5.4;0.91;0.41;0.29;20.5;694;794;401;34.41;22.6;2.64;3.58;0;0.1;19.95;16.74;37;-4.589484879;137.4491296
173;2.98;9.76;8.9;47.57;1.02;1.04;1.2;0.69;5.32;0.91;0.42;0.27;19.69;649;764;352;34.24;22.6;2.82;2.99;0;0.19;19.95;17.22;38;-4.589484879;137.4491296
181;2.98;9.89;8.71;43.69;0.95;3.53;0.91;0.59;6.18;0.96;0.42;0.3;20.58;700;806;385;34.24;22.6;2.82;2.99;0;0.19;19.95;17.22;39;-4.589484879;137.4491296
230;3.46;9.26;8.84;40.99;0.96;6.13;0.67;0.59;7.81;0.96;0.51;0.21;18.98;663;805;192;34.33;22.6;2.78;3.26;0;0.24;20.05;16.74;40;-4.589484879;137.4491296
230;2.86;8.85;8.4;42.71;0.9;6.07;0.88;0.56;7.22;1.02;0.46;0.3;19.5;710;899;228;34.31;22.6;2.78;3.26;0;0.27;20.05;16.74;41;-4.589484879;137.4491296
230;2.5;8.87;7.98;41.26;1.07;7.23;1.1;0.53;7.87;1.05;0.34;0.27;19.64;705;735;502;35.12;21.57;2.99;2.71;0;0.41;19.98;17.22;42;-4.589484879;137.4491296
230;3;9.03;8.57;42.08;0.9;5.52;0.56;0.6;7.73;0.99;0.4;0.3;20.11;621;755;167;35.01;21.57;2.96;3.26;0;0.41;20.05;16.74;43;-4.589484879;137.4491296
230;3.02;9.09;8.79;42.06;0.97;5.71;0.56;0.54;7.79;0.95;0.43;0.25;19.61;592;907;57;34.34;22.08;2.8;3.58;0;0.74;20.16;16.3;44;-4.589484879;137.4491296
230;3.11;9.2;8.45;41.06;0.98;6.36;0.52;0.55;7.94;0.95;0.39;0.26;19.96;611;804;31;34.03;22.7;2.62;3.67;0;0.98;20.16;15.83;45;-4.589484879;137.4491296
230;2.93;8.97;8.51;41.06;0.92;5.91;0.52;0.55;7.87;1.05;0.47;0.33;20.68;712;807;32;33.38;23.55;2.55;3.76;0;0.98;20.16;15.63;46;-4.589484879;137.4491296
270;2.51;8.57;8.5;43.11;0.75;6.76;1.17;0.61;5.94;1;0.34;0.29;20.27;526;722;321;32.93;23.99;2.46;4.28;0;1.09;20.02;15.23;47;-4.589484879;137.4491296
270;2.01;10.33;6.67;43.67;0.69;4.95;1.61;0.3;4.38;0.82;0.33;0.37;23.63;735;887;578;33.4;23.55;2.55;3.76;0;0.96;20.16;15.63;48;-4.589484879;137.4491296
270;2.6;8.55;8.55;43.18;0.87;6.2;1.21;0.5;6.64;0.91;0.45;0.3;19.51;725;798;402;33.4;23.55;2.55;3.76;0;0.96;20.16;15.63;49;-4.589484879;137.4491296
270;2.6;8.9;8.17;42.58;0.98;6.54;1.28;0.44;6.45;0.96;0.44;0.29;20.15;580;747;479;33.53;23.55;2.55;3.76;0;0.74;20.24;15.63;50;-4.589484879;137.4491296
270;2.3;9.91;7.24;42.55;0.86;5.83;1.49;0.36;5;0.87;0.37;0.35;22.63;745;815;517;34.17;22.7;2.62;3.67;0;0.84;20.16;15.83;51;-4.589484879;137.4491296
276;2.59;8.69;8.54;43.99;1.02;5.2;1.42;0.52;5.88;0.97;0.36;0.26;20.36;713;749;102;33.85;22.08;2.8;3.58;0;0.92;20.02;16.76;52;-4.589478654;137.4491125
