Sols;Na2O;MgO;Al2O3;SiO2;P2O5;SO3;Cl;K2O;CaO;TiO2;Cr2O3;MnO;FeO;Ni;Zn;Br;Amorphous;Pyroxene;Sulfate;Magnetite;Hematite;Feldspar;Plagioclase;Clay;Rank;Latitude;Longitude
629;1.04;17.9;4.2;34.43;0.65;4.46;3.44;2.53;4.32;0.9;0.36;3.34;21.48;830;7828;1851;30.87;27.77;1.74;6.86;0;0.74;15.08;16.94;126;-4.638842854;137.40201
629;1.12;18.29;4.31;33.69;0.69;4.44;3.19;2.43;4.2;0.91;0.28;4.87;20.64;1287;8490;1689;32.57;27.98;1.74;6.86;0;0.74;13.17;16.94;127;-4.638842854;137.40201
629;1.32;17.26;4.91;34.64;0.74;4.85;3.12;2.33;4.43;0.94;0.3;3.41;20.96;837;6777;1804;32.06;27.98;1.51;7.48;0;0.69;13.43;16.85;128;-4.638842854;137.40201
633;2.08;9.45;8.65;43.16;0.64;4.05;1.54;2.41;5.77;0.91;0.47;0.25;20.52;158;756;93;32.22;28.54;1.36;7.89;0;0.38;13.51;16.09;129;-4.639571529;137.4021448
633;2.14;9.44;8.7;42.91;0.73;4.04;1.54;2.43;5.85;0.91;0.51;0.22;20.43;198;785;96;31.47;28.54;1.36;7.89;0;0.38;15.7;14.66;130;-4.639571529;137.4021448
649;3.38;6.05;11.5;45.36;0.83;7.08;1.33;1.96;5.52;0.83;0.09;0.34;15.6;156;645;59;29.48;27.98;1.36;7.89;0;0.25;19.92;13.13;131;-4.640663647;137.3949317
673;2.78;8.27;9.41;43.05;0.85;5.12;0.64;0.45;7.17;1.1;0.5;0.44;20.09;517;355;26;29.65;27.78;1.36;7.89;0;0.25;20.81;12.26;132;-4.653535767;137.384183
687;3.71;5.05;13.36;46.93;3.2;5.93;1.41;0.61;9.84;0.42;0.08;0.2;9.12;69;388;52;29.73;27.63;1.36;7.89;0;0.25;20.88;12.26;133;-4.656307658;137.3842363
694;3.3;8.19;9.32;43.39;0.73;4.57;0.72;0.84;6.92;0.8;0.73;0.45;19.93;280;406;39;29.19;27.43;1.36;7.89;0;0.25;21.72;12.17;134;-4.658483612;137.3830464
696;4.15;3.26;10.88;59.29;0.98;5.7;0.81;2.23;3.78;1.18;0.24;0.08;7.3;178;543;252;30.59;25.95;1.68;7.48;0;0.25;21.89;12.17;135;-4.658823639;137.3829746
704;0.96;12.29;5.62;37.38;0.64;3.57;0.57;3.09;5.26;1.07;0.49;0.55;27.9;516;4775;123;32.85;23.46;2.18;6.86;0.2;0.25;22.04;12.17;136;-4.659818971;137.3828289
706;4.97;6.37;12;47.32;0.7;2.15;0.71;2.16;5.23;0.66;0.21;0.25;16.93;316;680;40;38;20.34;2.5;6.08;0.44;0.44;22.09;10.12;137;-4.659866158;137.382845
707;4.72;6.96;11.37;46.83;0.76;2.81;0.75;1.94;5.99;0.76;0.3;0.3;16.38;398;550;79;42.85;17.38;2.59;5.68;0.51;0.57;22.74;7.68;138;-4.660075066;137.3826673
722;2.51;2.44;8.14;60.69;1.81;3.65;0.54;0.55;4.44;1.17;0.26;0.19;13.5;320;722;93;43.94;14.98;2.67;5.6;0.8;0.57;23.75;7.68;139;-4.659958507;137.3827496
722;2.61;4.36;8.38;53.84;1.72;6.32;0.7;0.57;5.87;1.2;0.35;0.23;13.67;319;766;78;46.17;12.93;2.84;4.72;1.35;0.57;23.75;7.68;140;-4.659958507;137.3827496
722;2.68;2.73;7.81;59.76;2.1;3.88;0.56;0.52;4.54;1.16;0.32;0.18;13.63;300;712;81;49;10.06;3.19;3.78;1.71;0.44;24.14;7.68;141;-4.659958507;137.3827496
742;2.87;8.42;8.41;41.35;0.85;7.01;1.4;0.74;6.33;0.96;0.38;0.41;20.7;473;736;257;49.48;7.48;3.71;3.6;2.29;0.44;24.14;8.85;142;-4.659319365;137.3795958
755;2.92;4.5;10.43;51.88;1.08;5.17;0.37;0.86;3.77;1.07;0.34;0.31;16.93;1156;1732;57;49.97;7.04;4.33;2.59;2.81;0.33;24.21;8.74;143;-4.662699323;137.3774636
758;2.41;7.6;9.06;44.8;1.01;11.27;0.67;0.71;4.24;1;0.33;0.3;15.92;4169;1927;87;50.03;6.32;4.78;0.98;3.04;0.33;24.21;10.32;144;-4.662699323;137.3774636
758;2.37;7.65;8.69;43.67;1.02;10.11;0.88;0.65;5.3;1.04;0.34;0.33;17.33;2798;1958;98;51.5;5.62;4.94;0.15;3.04;0.22;24.21;10.32;145;-4.662699323;137.3774636
759;2.7;3.85;9.96;50.73;1.07;4.42;0.34;0.9;3.88;1.21;0.38;0.38;19.49;1261;2354;27;51.06;5.62;4.94;0.15;3.24;0.33;24.14;10.51;146;-4.662699323;137.3774636
762;2.97;3.62;10.58;51.26;1.2;4.07;0.3;0.85;4.06;1.13;0.36;0.36;18.89;483;2039;33;50.23;5.62;4.94;0.98;3.24;0.33;24.14;10.51;147;-4.662699323;137.3774636
767;2.6;7.1;9.18;45.94;0.66;11.01;0.69;0.8;4.09;0.97;0.32;0.21;15.29;3647;2055;57;49.12;5.62;4.94;0.98;3.24;0.44;24.08;11.57;148;-4.662699323;137.3774636
767;2.64;4.5;9.75;49.43;1.03;4.73;0.35;0.92;4.08;1.17;0.38;0.37;20.21;1126;2419;38;48.69;5.62;4.94;0.31;3.25;0.53;23.72;12.94;149;-4.662699323;137.3774636
774;2.52;6.9;9.24;46.19;1.08;9.94;0.62;0.74;4.38;0.92;0.34;0.35;16.12;3084;1983;68;47.72;6.32;4.94;0.31;3.24;0.44;24.08;12.94;150;-4.662699323;137.3774636
774;2.49;6.63;9.46;47.48;1.14;8.77;0.65;0.73;4.36;1.02;0.3;0.31;16.08;2244;1879;94;47.62;6.32;4.94;0.31;3.25;0.53;24.08;12.94;151;-4.662699323;137.3774636
774;2.55;6.2;9.77;48.65;1.07;7.64;0.6;0.7;4.35;1.06;0.37;0.34;16.19;2056;2169;63;47.44;6.32;4.94;0.31;3.37;0.53;24.14;12.94;152;-4.662699323;137.3774636
774;2.6;6.13;9.68;48.12;1.06;8.34;0.53;0.78;4;0.89;0.37;0.35;16.41;2597;2045;45;49.4;5.62;4.94;0.31;3.54;0.42;24.21;11.57;153;-4.662699323;137.3774636
779;2.49;7.29;9.21;45.4;1.09;10.51;0.64;0.71;4.41;1.02;0.34;0.32;15.88;3703;2171;70;48.91;6.31;4.94;0.31;3.54;0.22;24.21;11.57;154;-4.662699323;137.3774636
781;2.65;5.55;9.73;48.13;1.02;4.86;0.41;0.98;4.58;1.13;0.39;0.37;19.83;928;2107;40;48.04;7.04;4.85;0.98;3.62;0.22;24.74;10.51;155;-4.662972711;137.3775537
801;2.67;8.91;9.06;42.89;0.85;4.62;0.62;0.44;7.01;1.05;0.47;0.44;20.77;558;288;49;46.02;7.51;4.76;1.89;3.87;0.22;25.41;10.32;156;-4.662573519;137.3775185
802;2.71;8.81;9.04;43.43;0.92;5.21;0.7;0.47;6.97;0.99;0.39;0.42;19.78;542;277;44;44.24;8.44;4.67;3;3.62;0.1;25.62;10.32;157;-4.662573519;137.3775185
805;2.47;7.41;9.37;45.04;0.94;6.68;0.94;0.78;5.01;1.11;0.31;0.53;19.25;485;1434;138;45.94;8.71;4.47;1.22;3.54;0;25.62;10.51;158;-4.66265993;137.3774847
805;2.64;7.2;9.98;47.54;0.98;7.07;0.89;0.79;5.05;1.15;0.32;0.33;15.7;403;1577;121;44.06;9.02;4.11;3.02;3.54;0;25.94;10.32;159;-4.66265993;137.3774847
805;2.77;5.06;10.55;51.61;1.02;4.93;0.52;0.85;4.02;1.11;0.35;0.34;16.59;487;1607;97;43.23;9.39;3.78;4.26;3.37;0;26.26;9.71;160;-4.66265993;137.3774847
806;2.83;4.93;10.37;51.5;1.37;3.57;0.54;0.98;3.79;1.11;0.35;0.51;17.85;561;1558;139;43.55;9.61;3.47;4.65;3.54;0;26.36;8.82;161;-4.66265993;137.3774847
808;2.66;5.96;11.22;47.8;1.25;9.58;1.02;0.74;4.16;1.07;0.29;0.28;13.52;1260;1802;97;42.34;10.89;3.27;5.05;3.62;0.02;26.55;8.26;162;-4.662885912;137.3774491
808;2.81;5.41;11.77;50.09;1.3;8.06;0.95;0.65;4.12;1.07;0.34;0.31;12.74;1007;1855;91;43.17;12.26;3.26;5.45;3.5;0.02;26.97;5.38;163;-4.662885912;137.3774491
809;2.69;4.76;12.41;50.88;1.35;6.2;0.64;0.68;4.27;1.04;0.38;0.34;13.94;887;1699;80;45.19;12.38;3.06;5.72;3.39;0.01;27.95;2.3;164;-4.662885912;137.3774491
809;2.84;4.47;12.41;51.84;1.44;5.84;0.52;0.65;4.29;1.07;0.39;0.34;13.51;839;1737;85;44.49;12.38;2.84;6.7;3.5;0.03;28.51;1.55;165;-4.662885912;137.3774491
810;2.67;7.49;10.2;46.52;1.06;7.38;0.95;0.63;5.51;1.2;0.37;0.37;15.31;1017;1650;124;44.48;12.38;2.79;7.58;3.5;0.03;28.67;0.57;166;-4.662885912;137.3774491
810;2.66;8.39;9.61;43.34;1.2;13.51;1.1;0.55;5.59;1.09;0.35;0.34;11.67;3370;1653;150;45;12.26;2.84;7.58;3.62;0.03;28.67;0;167;-4.662885912;137.3774491
813;2.69;5.64;12.25;52.98;1.24;5.17;1.04;0.75;3.97;1.01;0.44;0.31;12.17;900;1583;456;44.56;12.05;3.04;7.58;4.08;0.03;28.67;0;168;-4.662949514;137.3776348
813;2.75;5.4;12.15;52.85;1.33;4.33;0.92;0.76;4.09;1.06;0.38;0.32;13.28;786;1545;494;43.89;12.05;2.84;8.08;4.45;0.03;28.67;0;169;-4.662949514;137.3776348
814;2.75;5.44;12.54;51.96;1.03;4.66;0.76;0.75;3.78;1.11;0.42;0.3;14.14;764;1525;736;44.76;11.17;2.84;8.08;4.45;0.03;28.67;0;170;-4.662949514;137.3776348
814;2.75;5.09;13.22;53.01;1.12;4.06;0.76;0.81;3.58;1.07;0.42;0.27;13.47;761;1535;728;45.2;11.17;2.84;8.08;4.03;0.01;28.67;0;171;-4.662949514;137.3776348
815;2.8;5.72;11.66;52.6;1.11;4.03;0.63;0.75;4.21;1.11;0.36;0.32;14.37;615;1524;516;45.61;11.17;2.84;8.08;3.62;0;28.67;0;172;-4.662949514;137.3776348
815;2.85;5.01;12.72;55.8;1.15;3.26;0.48;0.8;3.77;1.1;0.37;0.28;11.99;638;1675;686;44.84;12.15;2.79;8.08;3.6;0;28.54;0;173;-4.662949514;137.3776348
819;2.85;4.44;11.56;53.6;1.19;3.81;0.31;0.77;4.23;0.98;0.35;0.33;15.31;437;1391;32;44.14;12.45;2.7;8.34;3.98;0.01;28.39;0;174;-4.663224285;137.3778762
820;2.76;5.34;11.18;52;1.16;4.77;0.56;0.73;4.41;0.96;0.36;0.32;15.19;562;1367;37;44.49;12.45;2.7;8.34;3.98;0.03;28.02;0;175;-4.663224285;137.3778762
824;2.53;5.31;10.31;53.01;1.11;4.78;0.57;0.76;4.3;1;0.33;0.28;15.47;521;1254;45;44.9;13.04;2.62;8.34;3.48;0.03;27.6;0;176;-4.663224285;137.3778762
824;2.73;4.92;10.76;52.98;1.15;4.46;0.5;0.76;4.09;0.97;0.33;0.3;15.81;531;1214;14;44.65;13.04;2.49;8.71;3.48;0.03;27.6;0;177;-4.663224285;137.3778762
828;2.77;5.22;11.32;52.77;1.03;3.41;0.87;0.76;4.08;1.11;0.37;0.27;15.67;733;1162;950;44.04;13.84;2.27;8.71;3.48;0.06;27.6;0;178;-4.663379056;137.3777823
830;2.48;5.74;10.43;50.27;0.85;6.97;0.88;0.72;5.06;0.98;0.38;0.23;14.72;847;1317;328;44.49;13.04;2.49;8.34;3.98;0.06;27.6;0;179;-4.663379056;137.3777823
831;2.46;6.18;9.8;47.55;0.93;8.69;0.94;0.67;6.12;0.96;0.4;0.23;14.75;826;1131;451;44.77;12.45;2.62;8.04;4.45;0.06;27.6;0;180;-4.663379056;137.3777823
833;2.58;7.25;9.64;48.35;0.95;6.48;1.26;0.7;5.04;1.03;0.39;0.27;15.76;816;1208;492;45.28;12.24;2.7;7.62;4.08;0.03;27.6;0.45;181;-4.663379056;137.3777823
842;2.42;6.04;8.78;39.78;0.89;9.08;1.45;0.24;12.7;0.84;0.13;0.4;17.05;510;862;323;45.41;11.95;2.76;7.62;4.08;0.12;27.6;0.45;182;-4.663582296;137.3774985
844;3.41;3.76;9.54;53.5;2.32;3.03;0.82;0.96;3.33;1.25;0.38;0.16;17.24;327;584;455;45.21;11.8;2.79;7.62;4.45;0.08;27.6;0.45;183;-4.663582296;137.3774985
844;3.66;3;9.58;53.71;2.51;2.22;0.7;1.01;2.88;1.28;0.36;0.16;18.67;396;691;357;45.05;11.57;2.84;7.3;4.52;0.18;27.6;0.94;184;-4.663582296;137.3774985
853;3.02;6.66;9.52;42.84;1.06;4.58;2.01;0.46;8.75;1.04;0.17;0.42;19.17;494;925;654;43.95;11.57;3.02;7.08;4.45;0.07;27.6;2.25;185;-4.663582296;137.3774985
854;2.59;6.35;10.45;43.36;0.74;5.17;1.73;0.36;12.19;0.61;0.23;0.42;15.6;673;940;220;43.61;11.01;3.18;6.82;4.08;0;27.37;3.92;186;-4.663582296;137.3774985
854;2.46;7.04;9.52;42.49;0.93;4.86;1.17;0.45;9.04;1.01;0.41;0.47;19.83;544;776;265;42.93;11.01;3.23;6.46;4.08;0;27.6;4.67;187;-4.663582296;137.3774985
867;2.53;4.41;12.61;48.57;1.45;6.73;0.47;0.74;4.63;1.14;0.45;0.35;15.48;960;1740;49;44.04;11.01;3.24;5.7;4.08;0;27.25;4.67;188;-4.662863727;137.3774498
871;2.78;4.53;12.92;50.24;1.51;6.76;0.43;0.66;4.19;1.07;0.41;0.33;13.79;946;1702;38;45.29;10.32;3.49;5.7;4.15;0;26.38;4.67;189;-4.662863727;137.3774498
880;2.74;4.96;11.59;50.87;1.45;7.11;0.88;0.69;4.34;1.08;0.34;0.35;13.21;796;2131;70;45.21;10.54;3.44;6.3;4.57;0.07;25.57;4.29;190;-4.662863727;137.3774498
881;3.06;3.87;12.33;50.63;1.48;5.01;0.77;0.74;4.47;1.2;0.41;0.38;15.08;854;2472;66;45.68;11.02;3.24;6.3;4.57;0.07;24.83;4.29;191;-4.662863727;137.3774498
884;2.99;4.47;11.88;51.29;1.42;5.32;0.53;0.63;4.52;1.18;0.37;0.4;14.59;853;2198;50;45.75;11.02;3.24;6.78;4.57;0.07;24.28;4.29;192;-4.662863727;137.3774498
888;3;4.69;11.49;49.92;1.28;6.19;0.46;0.73;4.45;1.1;0.36;0.38;15.48;898;1972;57;46.02;10.54;3.44;6.78;4.57;0.07;24.28;4.29;193;-4.662863727;137.3774498
889;2.42;5.87;10.65;48.29;1.37;7.53;1.07;0.65;4.98;1.02;0.38;0.34;15.05;619;2161;141;46.21;10.54;3.44;6.3;4.18;0;24.28;5.04;194;-4.662863727;137.3774498
889;2.42;6.06;8.99;40.78;1.21;15.78;0.93;0.47;9.2;0.95;0.37;0.28;12.24;778;1544;94;47.54;10.35;3.62;5.7;3.38;0;24.28;5.12;195;-4.662863727;137.3774498
894;3.01;4.55;11.43;49.48;1.29;6.27;0.43;0.73;4.33;1.19;0.37;0.4;16.11;1032;2204;65;48.36;9.8;3.72;5.34;3.38;0;24.28;5.12;196;-4.662863727;137.3774498
905;0.85;4.48;8.03;56.09;0.09;2.86;0.46;0.98;4.21;0.63;0.46;0.41;18.69;446;1137;50;47.24;9.8;3.81;4.78;3.38;0;24.76;6.23;197;-4.663527332;137.3774523
905;3.18;3.4;9.89;54.07;1.52;2.8;0.36;0.93;3.81;1.14;0.34;0.18;18.19;282;973;122;48.81;9.15;3.84;3.83;3.38;0;24.76;6.23;198;-4.663527332;137.3774523
922;3.56;3.04;11.06;51.87;1.27;1.85;0.34;0.97;4.03;1.28;0.4;0.25;19.85;423;1212;93;48.68;9.8;3.81;3.36;2.73;0;24.03;7.6;199;-4.663527332;137.3774523
930;1.5;5.65;5.29;30.93;0.88;12.18;1.66;0.09;25.26;0.52;0.19;0.9;14.61;559;1938;189;46.94;10.09;3.84;3.26;1.22;0;22.02;12.63;200;-4.663751694;137.3773474
935;1.52;5.78;5.01;28.99;0.71;10.95;1.69;0.12;28.7;0.5;0.19;1.04;14.28;483;2253;112;46.82;10.35;3.84;3.26;0;0;18.08;17.65;201;-4.663751694;137.3773474
935;1.36;3.72;2.73;12.65;0.51;39.07;0.88;0.07;32.44;0.17;0.13;0.29;5.83;57;490;51;46.82;10.35;3.84;3.26;0;0;18.08;17.65;202;-4.663751694;137.3773474
935;1.51;5.44;5.18;32.2;0.87;12.35;1.56;0.1;25.15;0.45;0.26;0.89;13.66;504;1991;223;48.86;10.35;3.84;2.75;0;0;15.57;18.62;203;-4.663751694;137.3773474
935;1.34;5.4;4.1;28.27;1.01;23.71;1.28;0.2;21.5;0.47;0.15;0.52;11.82;397;975;217;48.47;10.35;3.84;2.33;0;0;15.12;19.89;204;-4.663751694;137.3773474
935;1.33;3.95;2.92;14.41;0.64;40.78;0.72;0.11;29.71;0.18;0.11;0.1;4.91;142;520;76;48.75;10.09;3.81;2.33;0;0;15.12;19.89;205;-4.663751694;137.3773474
936;2.95;5.75;9.34;48.99;1.33;6.71;0.64;0.77;5.34;1.16;0.34;0.22;16.23;510;673;258;49.27;10.36;3.79;2.84;0;0;15.12;18.62;206;-4.663751694;137.3773474
937;1.93;5.58;5.37;25.2;0.91;29.58;0.73;0.25;20.58;0.52;0.22;0.18;8.78;207;194;109;48.4;11.34;3.67;2.84;0;0;15.12;18.62;207;-4.663751694;137.3773474
937;1.25;5.83;4.74;26.99;0.71;19.22;1.5;0.07;25.23;0.46;0.2;0.52;12.94;463;2033;150;47.14;11.34;3.67;2.84;0;0;15.12;19.89;208;-4.663751694;137.3773474
937;1.44;5.31;4.97;28.05;0.84;21.04;1.69;0.05;19.35;0.45;0.21;0.84;15.35;419;1681;133;45.31;13.27;3.57;2.84;0;0;15.12;19.89;209;-4.663751694;137.3773474
937;1.51;5.75;5;28.37;0.73;11.27;1.68;0.11;29.28;0.49;0.16;0.93;14.33;467;2194;132;43.67;15.39;3.09;2.84;0;0;15.12;19.89;210;-4.663751694;137.3773474
942;4.03;3.95;11.21;49.78;0.76;2.29;0.7;2.83;5.71;0.99;0.28;0.29;16.99;629;609;77;45.25;14.6;3.09;2.85;0;0;15.57;18.62;211;-4.663883234;137.3772883
948;1.47;8.54;4.88;35.53;1.44;15.31;1.34;0.69;13.69;0.62;0.25;0.24;15.71;549;894;308;46.91;13.27;3.68;1.17;0;0;16.35;18.62;212;-4.663761361;137.3773276
948;1.9;4.86;4.64;47.59;2.72;7.72;1.43;1.17;2.87;0.59;0.63;0.16;23.42;310;430;479;47.5;13.27;3.68;1.17;0;0;19.1;15.29;213;-4.663761361;137.3773276
954;3.34;2.93;10.74;52.7;1.33;2.54;0.3;0.98;4.37;1.23;0.36;0.25;18.68;515;1232;39;51.81;11.15;3.81;0;0;0;21.79;11.44;214;-4.665340534;137.3754274
955;2.86;7.89;9.24;44.3;0.92;5.2;0.74;0.83;6.46;1.08;0.47;0.4;19.48;525;419;39;53.39;11.07;3.68;0.08;0;0;22.18;9.58;215;-4.665340534;137.3754274
974;2.89;8.13;10.32;44.07;0.98;4.87;1.2;0.6;6.08;0.95;0.32;0.5;18.95;404;640;157;53.99;11.07;3.09;1.25;0;0;22.18;8.41;216;-4.667310025;137.3701894
975;2.5;7.71;8.84;38.69;0.9;6.62;1.71;0.49;5.09;0.95;0.26;0.5;25.58;471;843;189;55.35;9.85;2.55;1.72;0;0;22.18;8.34;217;-4.667310025;137.3701894
989;2.86;5.39;8.66;53.79;1.53;4.46;0.66;0.82;4.28;1.29;0.33;0.19;15.5;231;1142;294;54.9;9.85;2.4;3.42;0;0;22.18;7.24;218;-4.66755303;137.3711941
998;2.69;8.41;10.44;44.72;0.94;6.46;1.22;0.44;6.63;1.05;0.7;0.35;15.84;396;432;76;56.76;9.14;2.4;3.42;0;0;22.18;6.09;219;-4.668293194;137.3700203
999;2.96;4.32;7.71;62.99;2.39;5.47;0.8;0.97;3.78;1.55;0.08;0.09;6.62;115;119;764;59.72;9.14;2.22;3.76;0;0;22.41;2.75;220;-4.668293194;137.3700203
1028;2.39;6.21;6.7;53.26;1.11;10.53;1.11;0.5;5.36;1.09;0.5;0.11;10.85;281;284;507;63.21;8.55;2.4;3.42;0;0;22.41;0;221;-4.668293194;137.3700203
1028;2.16;5.86;6.18;52.73;1.05;12.56;1;0.43;6.57;0.92;0.38;0.1;9.81;201;234;429;63.96;8.13;2.4;3.32;0;0;22.18;0;222;-4.668293194;137.3700203
1028;2.34;6.16;6.53;53.13;1.19;11.05;1.03;0.5;5.55;1.09;0.46;0.12;10.71;224;265;514;63.69;8.13;2.22;3.48;0;0.07;22.41;0;223;-4.668293194;137.3700203
1032;2.46;4.14;6.88;58.78;1.65;9.18;0.94;0.44;5.95;1.13;0.45;0.09;7.71;122;210;601;63.69;8.13;2.22;3.48;0;0.07;22.41;0;224;-4.66827639;137.3700253
1041;2.12;3.26;5.01;72.56;1.41;6.62;0.58;1.3;2.71;1.48;0.03;0.04;2.68;120;27;106;64.14;8.13;2.07;3.48;0;0;22.18;0;225;-4.66788948;137.3702117
1057;2.36;4.88;6.84;62.51;1.22;8.77;0.88;0.8;4.9;1.48;0.1;0.12;4.96;151;179;55;66.1;6.82;1.77;3.35;0;0;21.97;0;226;-4.668025052;137.3702986
1057;2.15;3.45;6.09;68.09;1.32;7.21;0.71;0.82;3.87;1.51;0.1;0.08;4.4;110;206;58;66.1;6.82;1.77;3.35;0;0;21.97;0;227;-4.668025052;137.3702986
1059;1.97;0.46;5.36;71.47;1.37;7.68;0.29;0.8;4.81;1.7;0.06;0.07;3.77;87;212;38;67.84;5.08;1.77;3.35;0;0;21.97;0;228;-4.668025052;137.3702986
1061;2.67;7.38;7.97;55.4;1.17;8.75;1.2;0.81;5.65;1.44;0.14;0.16;7;165;157;195;67.84;5.08;1.77;3.35;0;0;21.97;0;229;-4.668025052;137.3702986
1064;1.87;1.93;4.75;72.5;1.29;7.55;0.34;1;2.42;1.65;0.05;0.06;4.42;100;208;55;67.93;5.08;2.06;3.35;0;0;21.58;0;230;-4.668025052;137.3702986
1065;2.01;0.72;5.45;74.43;1.29;4.85;0.28;0.99;2.99;1.66;0.08;0.08;4.94;120;294;60;67.84;5.08;2.21;3.29;0;0;21.58;0;231;-4.668025052;137.3702986
1082;3.43;7.8;10.44;45.65;0.78;2.62;0.52;1.36;7.08;0.85;0.5;0.41;18.47;351;546;24;69.25;3.96;2.21;3.29;0;0.03;21.26;0;232;-4.670638562;137.3691255
1089;2.1;1.53;6.06;68.07;1.17;4.6;0.35;0.86;3.35;1.43;0.2;0.17;9.87;250;351;102;69.76;3.96;2.21;3.29;0;0.03;20.75;0;233;-4.671474922;137.3694005
1091;2.57;4.47;6.07;61.04;2.51;6.51;2.01;0.55;3.74;1.29;0.23;0.09;8.6;86;40;490;67.97;5.69;2.21;3.35;0;0.03;20.75;0;234;-4.671474922;137.3694005
1092;2.08;0.82;5.66;73.65;1.25;4.8;0.29;0.96;3.05;1.57;0.1;0.09;5.49;133;327;59;67.47;6.06;2.21;3.48;0;0.03;20.75;0;235;-4.671474922;137.3694005
1092;2.63;8.84;9.31;43.87;0.95;5.63;1.08;0.45;6.49;0.94;0.47;0.42;18.82;539;351;96;61.75;11.12;2.21;3.48;0;0.03;21.42;0;236;-4.671474922;137.3694005
1092;2.2;4.17;4.11;62.07;2.28;11.04;0.98;0.42;5.23;1.48;0.1;0.04;5.65;48;33;546;56.44;13.83;2.33;4.2;0;0.03;21.42;1.76;237;-4.671474922;137.3694005
1097;2.78;8.17;11.32;43.39;0.88;5.66;1.56;0.48;5.98;0.96;0.48;0.35;17.83;502;478;126;49.1;16.11;2.34;4.93;0;0.03;21.88;5.62;238;-4.67165041;137.3698746
1102;3.25;8.42;8.86;43.57;0.74;5.08;1.52;0.93;5.86;0.89;0.39;0.53;19.87;485;449;277;43.46;19.64;2.34;5.21;0.21;0;22.67;6.47;239;-4.672831504;137.3693209
1105;2.6;6.38;8.93;47.14;1.21;5.99;0.68;0.79;5.65;1.06;0.32;0.41;18.51;662;1420;190;46.72;17.45;2.35;4.93;0.21;0;21.88;6.47;240;-4.672927903;137.3691309
1109;2.1;5.07;6.14;53.1;1.03;8.15;0.84;0.73;4.57;1.12;0.28;0.08;16.57;334;567;453;39.96;20.53;2.35;5.21;0.53;0;22.67;8.75;241;-4.672846772;137.3688618
1110;1.75;3.56;3.45;66.83;1.93;9.55;0.81;0.84;3.4;1.31;0.2;0.07;6.08;79;404;627;40.45;20.53;2.39;5.21;0;0;22.67;8.75;242;-4.672846772;137.3688618
1114;2.68;8.82;9.38;43.96;0.87;5.93;1.18;0.43;6.36;0.96;0.42;0.39;18.44;440;296;237;44.61;17;2.45;4.93;0.1;0;21.88;9.03;243;-4.673135799;137.368583
1114;2.79;8.52;9.71;43.4;0.94;6.88;1.27;0.47;6.87;0.93;0.42;0.36;17.36;411;273;205;44.56;17;2.45;4.93;0;0;22.03;9.03;244;-4.673135799;137.368583
1116;3.23;8.23;12.41;42.14;0.8;3.42;1.21;0.51;6.79;0.92;0.38;0.4;19.5;466;314;371;43.64;17;2.56;4.18;0.1;0;22.03;10.49;245;-4.673135799;137.368583
1123;3;8.05;11.3;41.7;0.73;5.57;0.79;0.49;7.42;0.9;0.45;0.39;19.14;466;292;300;39;20.53;2.56;5.21;0;0;22.03;10.67;246;-4.673135799;137.368583
1124;2.71;8.54;9.57;43.66;0.89;6;1.36;0.42;6.53;0.92;0.4;0.39;18.51;427;310;309;39.77;20.53;2.56;5.21;0;0;21.25;10.67;247;-4.673135799;137.368583
1126;3.15;6.88;12.18;45.19;0.84;4.61;0.84;0.5;6.77;0.95;0.4;0.34;17.22;386;306;301;38.48;21.01;2.45;5.4;0;0;21.34;11.33;248;-4.673135799;137.368583
1130;2.53;4.77;5.48;56.23;1.24;10.78;1.54;0.44;5.98;1;0.34;0.09;9.43;160;107;336;39;20.56;2.56;5.21;0;0;21.34;11.33;249;-4.673145905;137.3686468
1132;3.08;7.49;11.52;42.95;0.72;3.35;0.73;0.46;6.12;1;0.51;0.4;21.55;543;377;377;44.04;17;2.74;3.42;0.1;0;22.03;10.67;250;-4.673145905;137.3686468
1134;1.96;0.99;1.27;63.59;1.84;13.1;0.82;0.23;6.58;1.14;0.31;0.05;7.96;101;94;545;45.33;15.74;2.74;4.61;0.1;0;22.23;9.24;251;-4.673145905;137.3686468
1142;2.15;1.47;2.86;59.15;1.56;13.07;0.54;0.29;7.1;0.91;0.28;0.07;10.39;183;93;441;40.19;20.56;2.56;5.21;0;0;22.23;9.24;252;-4.673145905;137.3686468
1143;2.4;5.6;5.42;58.76;1.09;10.72;1.11;0.41;5.74;1.14;0.32;0.09;7.04;125;128;362;38.79;21.05;2.45;5.4;0;0.02;23.06;9.24;253;-4.673145905;137.3686468
1143;2.33;2.11;3.98;53.88;1.34;13.38;0.49;0.3;8.29;0.95;0.33;0.1;12.44;233;133;220;38.91;21.05;2.43;5.75;0;0.4;22.23;9.24;254;-4.673145905;137.3686468
1150;2.73;9.54;8.84;44.49;0.78;3.96;1.65;0.29;6.15;0.87;0.43;0.44;19.76;428;417;240;38.68;21.21;2.41;6.64;0.1;0.4;22.23;8.32;255;-4.673326522;137.3684115
1150;2.58;9.25;8.7;44.45;0.72;3.89;1.59;0.32;6.13;0.89;0.43;0.44;20.52;407;353;109;39.16;20.56;2.56;5.75;0.1;0.4;22.23;9.24;256;-4.673326522;137.3684115
