Rank,Days_on_Mars,SiO2,FeO,Al2O3,SO3,CaO,MgO,Na2O,TiO2,P2O5,K2O,Cl,Cr2O3,MnO
57,291,43.04,20.39,8.68,6.12,6.31,8.32,2.43,1.02,0.77,0.56,1.23,0.49,0.35
58,291,46.81,19.82,9.34,1.57,5.44,9.15,3.14,0.91,0.92,0.66,1.33,0.42,0.28
59,304,49.01,14.71,11.63,2.67,6.22,6.31,4.39,0.77,0.89,1.65,0.92,0.38,0.31
60,322,42.1,20.69,8.43,5.88,6.81,8.95,2.89,0.75,0.64,0.43,1.08,0.76,0.4
61,322,42.05,20.9,8.38,5.9,6.82,8.77,2.71,0.83,0.7,0.47,1.14,0.77,0.37
62,322,41.64,20.72,8.34,6.29,6.73,9.08,2.87,0.76,0.65,0.43,1.11,0.79,0.4
63,322,41.9,21,8.29,5.78,6.88,9.05,2.8,0.76,0.65,0.42,1.13,0.76,0.4
64,322,42.16,20.58,8.44,5.82,7.03,8.7,2.86,0.75,0.74,0.46,1.12,0.76,0.38
65,323,44.49,18.51,9.63,5.1,6.52,7.69,3.23,0.92,0.77,1.18,0.83,0.6,0.37
66,323,42.03,20.63,8.75,6.05,6.54,8.26,2.98,0.85,0.8,0.78,1.15,0.65,0.36
67,360,49.41,11.96,13.76,3.9,7.23,4.66,4.84,0.76,0.73,1.67,0.65,0.06,0.27
68,373,45.41,14.62,10.88,6.89,7.2,7.27,3.21,1.03,0.96,0.84,0.99,0.25,0.31
69,387,53.09,10.16,11.61,4.46,7.19,4.41,4.12,1.35,1.45,0.92,0.85,0.09,0.22
70,394,49.32,15.31,14.39,4.48,5.53,3.19,4.24,0.53,0.6,0.58,1.46,0,0.13
71,395,46.89,16.82,13.59,5.68,5.44,3.67,3.96,0.7,0.69,0.57,1.75,0.03,0.13
72,399,45.19,14.4,10.25,7.98,6.97,7.76,3.07,0.85,0.99,0.81,1.13,0.22,0.24
73,399,46.18,14.15,12.29,6.08,6.78,6.14,3.87,0.86,0.86,1.08,0.98,0.16,0.4
74,399,46.28,13.8,11.37,7.12,6.77,6.67,3.45,0.88,1.01,1.14,0.99,0.13,0.23
75,399,45.81,13.2,10.84,7.78,7.46,7.17,3.31,0.94,0.93,0.97,0.97,0.19,0.27
76,399,47.53,11.93,13.64,6.62,6.53,5.64,3.89,0.71,0.88,0.85,1.34,0.09,0.17
77,400,46.29,14.96,12.04,6.54,6.09,6.33,3.43,0.8,0.83,0.65,1.49,0.07,0.24
78,400,45.78,15.22,11.03,7.07,6.43,6.85,3.19,0.8,0.92,0.76,1.36,0.12,0.23
79,400,44.99,14.86,10.95,7.35,7.07,7.21,3.15,0.87,0.99,0.73,1.18,0.19,0.27
80,441,41.68,20.3,8.47,7.04,6.42,8.35,2.48,1.07,0.98,1.04,1.1,0.52,0.35
81,442,43.07,19.81,8.34,5.74,5.72,8.37,2.45,0.86,0.77,2.52,1.24,0.48,0.41
82,472,43.01,22.35,7.98,3.29,6.13,8.71,2.7,0.89,0.75,1.96,0.95,0.54,0.5
83,485,42.15,20.28,8.66,6.43,6.22,8.36,2.61,1.01,0.94,1.37,0.94,0.41,0.4
84,485,41.79,20.72,8.57,6.53,6.32,8.16,2.63,1.01,0.94,1.24,0.95,0.51,0.43
85,487,41.93,20.86,8.78,5.05,6.62,9.08,2.9,0.92,0.99,0.7,1.24,0.38,0.31
86,487,41.64,21.18,8.69,4.67,6.35,9.41,3.19,1.1,0.89,0.62,1.26,0.45,0.33
87,487,41.13,21.95,8.63,4.61,6.66,9.32,3.01,0.99,0.86,0.62,1.19,0.46,0.29
88,503,49.91,10.75,12,5.13,6.48,5.32,3.98,0.58,0.89,3.44,1.02,0.1,0.26
89,503,49.93,10.27,15.37,2.32,5.76,3.41,6.78,0.72,0.93,2.94,1.11,0.05,0.26
90,506,50.85,10.92,14.97,4.23,6.16,4.24,5.06,0.56,0.69,1.21,0.7,0.07,0.15
91,510,51.22,11.48,16.22,2.13,5.71,3.08,5.42,0.54,0.62,2.23,0.89,0.07,0.19
92,510,49.34,12.19,15.18,3.27,6.15,3.69,5.01,1.19,0.78,1.89,0.88,0.04,0.29
93,512,53.98,5.73,16.8,4.43,7.16,3.41,5.19,0.35,0.61,1.36,0.69,0.06,0.12
94,512,51.94,10.47,15.28,3.56,5.46,3.66,4.81,0.71,0.64,2.48,0.66,0.04,0.18
95,516,56.78,13.65,9.46,3.52,3.6,2.91,4.21,0.99,0.63,3.04,0.84,0.03,0.21
